Operator,Date,Area,Vehicle Type,Trip Start Count,Trip End Count,Morning Deployment Available Count,Mean Available Vehicle Count,Mean Unavailable Vehicle Count,Mean Active Vehicle Count,Vehicle Utilization By Mean Available Vehicles,Vehicle Utilization By Mean Active Vehicles,Average Vehicle Idle Seconds,Total Vehicles Seen
Lime,2022-07-01,2401 Colfax Mobility Hub,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-07-01,Civic Center Station Mobility Hub,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-07-01,Opportunity Areas (4/13/21),e-bike,176,128,145,131.97,38.22,133.73,1.33,1.32,56553.45,260
Lime,2022-07-01,15th St for 2023 TIP,e-bike,35,35,6,4.81,2.28,5.08,7.27,6.89,19142.34,32
Lime,2022-07-01,Coor's Field ,e-bike,32,32,2,5.08,2.15,5.32,6.3,6.02,22305.46,28
Lime,2022-07-01,Coor's Field Larger Area,e-bike,47,56,2,7.33,6.4,7.72,6.41,6.09,25783.89,46
Lime,2022-07-01,Council District 1,e-bike,90,84,48,38.44,13.92,39.36,2.34,2.29,47119.19,96
Lime,2022-07-01,Council District 2,e-bike,1,1,4,3.49,1.13,3.53,0.29,0.28,49961.5,8
Lime,2022-07-01,Council District 3,e-bike,63,52,47,46.04,17.23,46.57,1.37,1.35,55224.8,99
Lime,2022-07-01,Council District 4,e-bike,1,1,3,2.6,0.36,2.6,0.38,0.38,85205.67,3
Lime,2022-07-01,Council District 5,e-bike,17,18,9,7.88,1.52,8,2.16,2.13,47769.82,17
Lime,2022-07-01,Council District 6,e-bike,11,8,10,8.55,2.79,8.7,1.29,1.26,61247.38,16
Lime,2022-07-01,Council District 7,e-bike,51,60,23,21.13,12.98,21.62,2.41,2.36,47541.37,62
Lime,2022-07-01,Council District 8,e-bike,30,26,18,12.92,5.32,13.3,2.32,2.25,49244.62,32
Lime,2022-07-01,Council District 9,e-bike,289,291,130,135.27,57.96,137.96,2.14,2.09,59838.95,279
Lime,2022-07-01,Denver Core - for Avs parade calcs,e-bike,522,524,212,212,112.65,216.56,2.46,2.41,75604.59,371
Lime,2022-07-01,Denver Union Station,e-bike,4,7,1,1.13,0.14,1.16,3.53,3.44,13813.5,8
Lime,2022-07-01,DTC (Denver),e-bike,0,0,0,0,0,0,,,,0
Lime,2022-07-01,~EAP Boundary,e-bike,31,29,10,6.49,2.68,6.85,4.78,4.52,41683.47,19
Lime,2022-07-01,~ECAP Boundary,e-bike,105,101,23,27.78,19.7,28.8,3.78,3.65,42290.33,97
Lime,2022-07-01,Lawrence Pilot Block,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-07-01,Micromobility Parking Hubs (10m Buffer),e-bike,1,2,0,0.01,0,0.01,111.05,103.23,389,2
Lime,2022-07-01,Micromobility Parking Hubs (20m Buffer),e-bike,4,4,0,0.78,0.01,0.81,5.11,4.92,7643.56,9
Lime,2022-07-01,Micromobility Parking Hubs (30m Buffer),e-bike,14,16,0,1.68,0.47,1.8,8.33,7.79,10333.89,18
Lime,2022-07-01,Private Development For Analysis,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-07-01,Council District 10,e-bike,87,97,17,21.12,18.49,21.85,4.12,3.98,37200.66,92
Lime,2022-07-01,Council District 11,e-bike,0,0,1,0.99,0,0.99,0,0,85268,1
Lime,2022-07-01,Stephen's Rockies Gameday Area,e-bike,56,61,2,7.93,5.86,8.38,7.06,6.69,22486.94,53
Lime,2022-07-01,Denver City Boundary,e-bike,640,639,310,298.49,131.83,304.54,2.14,2.1,80473.89,462
Lime,2022-07-01,2401 Colfax Mobility Hub,scooter,2,1,0,0.04,0,0.05,46.41,37.69,1241,3
Lime,2022-07-01,Civic Center Station Mobility Hub,scooter,1,1,0,0.09,0,0.09,10.66,10.66,8103,1
Lime,2022-07-01,Opportunity Areas (4/13/21),scooter,2029,1786,604,425.2,37.34,439.79,4.77,4.61,32517.3,1229
Lime,2022-07-01,15th St for 2023 TIP,scooter,632,672,15,17.69,3.87,22.32,35.74,28.32,4382.03,425
Lime,2022-07-01,Coor's Field ,scooter,820,833,4,29.52,3.89,35.26,27.78,23.26,5336.31,541
